#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      6.26e+00      6.83e-01      1.97e-01    1.0e-03
   2000      1.04e+00      1.18e-01      3.26e-02    1.0e-03
   4000      1.49e+00      5.97e-02      4.70e-02    1.0e-03
#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
   4000      8.90e-02      3.66e-02      2.66e-03    1.0e-03
   6000      5.70e-01      9.39e-02      1.80e-02    1.0e-03
   8000      7.88e-01      2.05e-01      2.44e-02    1.0e-03
  10000      1.98e+00      1.17e-01      6.25e-02    1.0e-03
  12000      2.27e+00      1.58e-01      7.16e-02    1.0e-03
  14000      3.21e-01      2.74e-02      1.01e-02    1.0e-03
  16000      4.13e-02      2.25e-02      1.18e-03    1.0e-03
  18000      6.41e-01      2.41e-01      1.98e-02    1.0e-03
  20000      8.93e-01      4.46e-02      2.82e-02    1.0e-03
  22000      6.93e-01      4.83e-02      2.19e-02    1.0e-03
  24000      1.86e-01      2.10e-02      5.86e-03    1.0e-03
  26000      3.51e-01      2.24e-02      1.11e-02    1.0e-03
  28000      4.26e-01      1.93e-02      1.35e-02    1.0e-03
  30000      2.04e+00      6.38e-02      6.46e-02    1.0e-03
  32000      2.56e-01      1.52e-02      8.08e-03    1.0e-03
  34000      1.77e-01      1.02e-01      4.98e-03    1.0e-03
  36000      2.75e-01      3.25e-01      6.49e-03    1.0e-03
  38000      2.05e-01      3.36e-02      6.41e-03    1.0e-03
  40000      2.70e-01      1.50e-01      5.22e-03    9.4e-04
  42000      5.51e-01      4.90e-02      1.76e-02    9.4e-04
  44000      5.37e-01      4.52e-02      1.72e-02    9.4e-04
  46000      1.44e+00      8.65e-03      4.69e-02    9.4e-04
  48000      1.30e-01      4.04e-03      4.23e-03    9.4e-04
  50000      4.40e-01      9.72e-02      1.36e-02    9.4e-04
  52000      9.03e-02      2.56e-02      2.39e-03    9.4e-04
  54000      5.13e-01      2.07e-02      1.67e-02    9.4e-04
  56000      1.35e+00      3.32e-01      4.12e-02    9.4e-04
  58000      2.52e-01      3.34e-02      8.04e-03    9.4e-04
